birthYear,proposal,attendance_rate,name,assembly_id
1943,35,86.49,양창영,861
1955,71,97.60,안효대,603
1961,34,94.01,염동열,753
1950,22,93.41,이종진,736
1960,21,94.61,이종훈,784
1951,21,76.05,이주영,194
1971,9,91.89,오신환,875
1958,8,80.00,이정현,628
1955,45,98.20,이채익,747
1946,1,100.00,안상수,876
1951,121,91.02,안홍준,401
1958,102,98.80,심재철,133
1950,4,64.18,이완구,179
1954,25,92.22,심윤조,719
1953,16,97.60,신동우,722
1963,35,92.22,신성범,598
1956,19,86.49,신상진,516
1968,25,95.81,서용교,725
1959,55,89.82,손인춘,821
1947,73,94.61,송영근,818
1946,38,86.23,서상기,342
1954,64,97.60,신경림,824
1959,26,79.64,박창식,820
1965,39,89.82,박민식,579
1957,76,91.02,박성호,774
1961,34,94.01,박대출,777
1951,15,100.00,박맹우,866
1947,70,91.96,박명재,858
1948,137,91.02,박인숙,721
1953,30,89.22,박덕흠,754
1976,30,70.06,문대성,728
1961,72,98.80,문정림,845
1959,41,96.41,민병주,802
1969,43,94.61,민현주,819
1951,32,94.01,박대동,748
1948,22,87.14,배덕광,863
1964,53,95.81,신의진,808
1957,43,95.21,류성걸,731
1950,17,94.61,노철래,576
1953,59,86.83,나성린,575
1950,99,91.02,류지영,817
1943,6,83.04,서청원,115
1958,29,85.63,김희국,730
1971,43,75.45,김희정,366
1963,4,87.14,나경원,363
1949,25,94.90,박윤옥,860
1955,22,94.01,김회선,717
1943,14,82.63,김태환,360
1954,82,100.00,김한표,779
1963,23,89.22,김태흠,758
1961,45,95.21,김학용,572
1951,49,93.41,김정록,803
1957,20,91.43,김제식,872
1949,25,92.81,김종태,772
1952,11,87.43,김종훈,720
1964,19,85.63,김진태,749
1951,180,100.00,김태원,571
1962,11,77.25,김태호,297
1956,38,87.43,김장실,814
1961,24,93.41,김재경,344
1964,49,88.62,김재원,345
1957,43,92.81,김정훈,348
1958,26,82.63,김동완,760
1963,45,93.41,김상훈,732
1954,42,87.43,김성찬,776
1964,26,91.62,김명연,790
1951,6,90.30,김무성,33
1973,47,94.01,김상민,822
1958,80,92.22,김성태,556
1972,45,94.61,김세연,558
1948,32,92.22,김광림,548
1952,62,88.62,김기선,750
1964,35,95.21,김도읍,726
1967,26,83.23,김영우,562
1970,23,97.14,김용남,867
1968,25,71.86,김용태,565
1945,35,94.01,김을동,567
1955,21,76.65,길정우,714
1959,34,93.41,권은희,733
1960,73,84.43,권성동,684
1964,24,85.03,강석훈,718
1946,3,86.23,강창희,10
1958,50,93.41,경대수,755
1955,40,92.22,강석호,537
1942,30,89.82,강길부,318
