candidacy_img,name,gender,address,education,experience,job,birth,district_code,party,criminal,candidacy_id
/photo_20160413/Sd2700/Gsg2703/Sgg2270301/Hb100118958/gicho/thumbnail.100118958.jpg,손창민,남,대구광역시 서구 통학로,한국외국어대학교 정치행정언론대학원 졸업(행정학 석사),"(전) 새누리당 중앙연수원 교수,(현) 위덕대학교 석좌교수",중소기업 CEO,"1966/04/15,(49세)",2270301,무소속,3건,100118958
/photo_20160413/Sd2700/Gsg2705/Sgg2270502/Hb100119510/gicho/thumbnail.100119510.jpg,홍의락,남,대구광역시 북구 구암서로,고려대학교 농과대학 농업경제학과 졸업,"(전)19대 국회의원,(전)국회예산결산특별위원회위원",정치인,"1955/03/11,(61세)",2270502,무소속,없음,100119510
/photo_20160413/Sd2700/Gsg2706/Sgg2270601/Hb100118585/gicho/thumbnail.100118585.jpg,김문수,남,대구광역시 수성구 고산로,서울대학교 경영학과 졸업,"(전)제15~17대 3선 국회의원,(전)민선4~5기 경기도지사",정당인,"1951/08/27,(64세)",2270601,새누리당,1건,100118585
/photo_20160413/Sd2700/Gsg2706/Sgg2270601/Hb100118465/gicho/thumbnail.100118465.jpg,김부겸,남,대구광역시 수성구 동원로,서울대학교 정치학과 졸업,"(전)제16대, 17대, 18대 국회의원,(전)대구시장 후보",정당인,"1958/01/21,(58세)",2270601,더불어민주당,2건,100118465
/photo_20160413/Sd2700/Gsg2705/Sgg2270501/Hb100119305/gicho/thumbnail.100119305.jpg,권은희,여,대구광역시 북구 대구체육관로4길,서울대학교 대학원 전자계산기공학과 졸업 (공학석사),"(전)(주)KT 상무,(현)제19대 국회의원(대구 북구갑)",국회의원,"1959/05/24,(56세)",2270501,무소속,없음,100119305
/photo_20160413/Sd2700/Gsg2702/Sgg2270202/Hb100120726/gicho/thumbnail.100120726.jpg,이승천,남,대구광역시 동구 율하동로19길,계명대학교 대학원 법학과 박사과정 수료,"(전)제5회지방선거 대구광역시장후보,(현)대구미래대학교 경찰행정과 부교수",교수,"1962/03/08,(54세)",2270202,더불어민주당,없음,100120726
/photo_20160413/Sd2700/Gsg2702/Sgg2270202/Hb100119663/gicho/thumbnail.100119663.jpg,유승민,남,대구광역시 동구 화랑로100길,"미국 위스콘신대학교(매디슨) 경제학과 졸업(경제학 박사, 1983.9~1987.12)","(전)새누리당 원내대표,(현)19대 대구 동구을 국회의원",국회의원,"1958/01/07,(58세)",2270202,무소속,없음,100119663
/photo_20160413/Sd2700/Gsg2702/Sgg2270201/Hb100119279/gicho/thumbnail.100119279.jpg,정종섭,남,대구광역시 동구 동북로,연세대학교 대학원 법학과 박사과정 졸업(법학박사),"(전)행정자치부 장관,(전)서울대 법대 학장",정당인,"1957/06/16,(58세)",2270201,새누리당,없음,100119279
/photo_20160413/Sd2700/Gsg2702/Sgg2270201/Hb100120381/gicho/thumbnail.100120381.jpg,황순규,남,대구광역시 동구 효동로1길,경북대학교 신문방송학과 졸업,"(전)6대 동구의회 의원,(전)사랑의 몰래산타 대구운동본부 본부장",정당인,"1980/08/24,(35세)",2270201,민중연합당,없음,100120381
/photo_20160413/Sd2700/Gsg2702/Sgg2270201/Hb100118981/gicho/thumbnail.100118981.jpg,성용모,남,대구광역시 동구 송라로14길,경일대학교 경영학과 졸업,"(전)현대이앤지 대표,(현)(주)대명폴 근무",회사원,"1960/11/01,(55세)",2270201,한국국민당,2건,100118981
