candidacy_img,name,gender,address,education,experience,job,birth,district_code,party,criminal,candidacy_id
/photo_20160413/Sd4400/Gsg4413/Sgg2441301/Hb100120189/gicho/thumbnail.100120189.JPG,홍문표,남,충청남도 홍성군 홍성읍 내포로146번길,한양대사회복지학석사,"(전)국회예결특위위원장,(현)새누리당제1사무부총장",국회의원,"1947/10/05,(68세)",2441301,새누리당,1건,100120189
/photo_20160413/Sd4400/Gsg4413/Sgg2441301/Hb100120300/gicho/thumbnail.100120300.jpg,강희권,남,충청남도 예산군 예산읍 신흥길,단국대학교 법학과 졸업,"(전)경찰공제회 법무지원팀장,(현)충남 인재육성재단 비상근 이사",변호사,"1968/09/23,(47세)",2441301,더불어민주당,2건,100120300
/photo_20160413/Sd4400/Gsg4416/Sgg2441601/Hb100119743/gicho/thumbnail.100119743.jpg,김동완,남,충청남도 당진시 원당로,서울대학교 행정대학원 행정학과 졸업(행정학석사),"(전)충청남도 행정부지사,(현)당진시 19대 국회의원",국회의원,"1958/06/20,(57세)",2441601,새누리당,없음,100119743
/photo_20160413/Sd4400/Gsg4416/Sgg2441601/Hb100118852/gicho/thumbnail.100118852.jpg,어기구,남,충청남도 당진시 송악읍 대섬길,"오스트리아 빈국립대학교 사회경제계열 졸업(경제학박사, 1999.3.1∼2002.2.1.)","(전)대통령자문 노사정위원회 전문위원,(전)고려대학교 경제연구소 연구교수",정당인,"1963/01/10,(53세)",2441601,더불어민주당,없음,100118852
/photo_20160413/Sd4400/Gsg4416/Sgg2441601/Hb100118820/gicho/thumbnail.100118820.jpg,송노섭,남,충청남도 당진시 계성3길,단국대학교 대학원 경영학과 졸업(경영학박사),"(전)송영진국회의원 보좌관,(전)더불어민주당 부대변인",정당인,"1963/10/20,(52세)",2441601,국민의당,없음,100118820
/photo_20160413/Sd4400/Gsg4416/Sgg2441601/Hb100120414/gicho/thumbnail.100120414.jpg,전병창,남,충청남도 당진시 밤절로,한서대학교 대학원 행정학과 졸업,"(현)친반국민대통합 부대변인,(현)여의도정책연구원 선임연구위원",정당인,"1955/08/05,(60세)",2441601,친반통합,없음,100120414
/photo_20160413/Sd4400/Gsg4409/Sgg2440901/Hb100120019/gicho/thumbnail.100120019.jpg,이인제,남,충청남도 논산시 연산면 사계로,서울대학교 법과대학 행정학과 졸업,"(현) 새누리당 최고위원,(전) 제18대 대선 박근혜후보 공동선거대책위원장",국회의원,"1948/12/11,(67세)",2440901,새누리당,없음,100120019
/photo_20160413/Sd4400/Gsg4409/Sgg2440901/Hb100118449/gicho/thumbnail.100118449.jpg,김종민,남,충청남도 논산시 시민로258번길,서울대학교 인문대학 국어국문학과 졸업,"(전) 청와대 대변인,(전) 안희정 민선5기 충청남도 정무부지사",정당인,"1964/05/12,(51세)",2440901,더불어민주당,1건,100118449
/photo_20160413/Sd4400/Gsg4409/Sgg2440901/Hb100118955/gicho/thumbnail.100118955.jpg,이환식,남,충청남도 논산시 부적면 계백로1546번길,"파리8대학교 정치학과 박사과정 정치학박사(5년, 1988~1993)","(전) 국무총리산하 경제인문사회연구회 사무처장,(전) 한남대학교 예우교수",정당인,"1958/08/07,(57세)",2440901,국민의당,없음,100118955
/photo_20160413/Sd4400/Gsg4405/Sgg2440501/Hb100118722/gicho/thumbnail.100118722.jpg,성일종,남,충청남도 서산시 석림4로,광운대 대학원 환경공학 박사,"(전)독도사랑운동본부 총재,(현)고려대 대학원 겸임교수",고려대 대학원 겸임교수,"1963/03/19,(53세)",2440501,새누리당,없음,100118722
/photo_20160413/Sd4400/Gsg4405/Sgg2440501/Hb100118738/gicho/thumbnail.100118738.jpg,한상율,남,충청남도 서산시 율지5로,서울대학교 농과대학 농업교육학과 졸업,"(전)국세청장,(현)태안꽃축제 추진위원장",세무법인 리앤케이 회장,"1953/11/25,(62세)",2440501,무소속,없음,100118738
/photo_20160413/Sd4400/Gsg4404/Sgg2440403/Hb100120081/gicho/thumbnail.100120081.jpg,이건영,남,충청남도 아산시 용화고길30번길,서강대학교 대학원 졸업(문학 석사),"(전)청와대 행정관,(현)한국가스기술공사 상임감사",공기업인(한국가스기술공사 상임감사),"1961/07/12,(54세)",2440403,새누리당,1건,100120081
/photo_20160413/Sd4400/Gsg4404/Sgg2440403/Hb100119685/gicho/thumbnail.100119685.jpg,강훈식,남,충청남도 아산시 배방읍 광장로,건국대학교 경영정보학과 졸업,"(현)동국대 언론정보대학원 겸임교수,(현)TV정치평론가",동국대 언론정보대학원 겸임교수,"1973/10/24,(42세)",2440403,더불어민주당,2건,100119685
/photo_20160413/Sd4400/Gsg4404/Sgg2440402/Hb100118870/gicho/thumbnail.100118870.jpg,이위종,남,충청남도 아산시 남부로,단국대학교 인문학부(영어영문학 전공) 졸업,"(현)더불어민주당 중앙당 정책위원회 부의장,(현)더불어민주당 아산갑 지역위원장",정당인,"1976/12/04,(39세)",2440402,더불어민주당,없음,100118870
/photo_20160413/Sd4400/Gsg4403/Sgg2440301/Hb100120159/gicho/thumbnail.100120159.jpg,김태흠,남,충청남도 보령시 웅천읍 신기1길,서강대학교 공공정책대학원 사회복지정책학과 졸업(행정학 석사),"(전)충남정무부지사,(현)제19대 국회의원",국회의원,"1963/01/11,(53세)",2440301,새누리당,없음,100120159
/photo_20160413/Sd4400/Gsg4403/Sgg2440301/Hb100118709/gicho/thumbnail.100118709.jpg,나소열,남,충청남도 서천군 서천읍 사곡로75번길,서강대학교 대학원 정치외교학과 졸업(정치학 석사),"(전)서천군수 3선(민선 3,4,5기),(현)더불어민주당충남도당위원장",정당인,"1959/05/16,(56세)",2440301,더불어민주당,없음,100118709
/photo_20160413/Sd4400/Gsg4403/Sgg2440301/Hb100119396/gicho/thumbnail.100119396.jpg,이기원,남,충청남도 보령시 주산면 충서로,고려대학교 졸업 경제학 학사,"(전)새누리당 중앙위원,(전)박근혜 대통령후보 보령시 공보단장",농업,"1972/02/11,(44세)",2440301,무소속,없음,100119396
/photo_20160413/Sd4400/Gsg4402/Sgg2440202/Hb100119096/gicho/thumbnail.100119096.jpg,정진석,남,충청남도 공주시 관골1길,고려대학교 정치외교학과 졸업,"(전) 청와대 정무수석,(전) 제16,17,18대 3선 국회의원",정당인,"1960/09/04,(55세)",2440202,새누리당,없음,100119096
/photo_20160413/Sd4400/Gsg4402/Sgg2440202/Hb100120181/gicho/thumbnail.100120181.JPG,박수현,남,충청남도 공주시 공주대학로,서울대학교 인문대학 서양사학과(3년 자퇴제적),"(현)제19대 국회의원,(현)더불어민주당 대표 비서실장",국회의원,"1964/08/14,(51세)",2440202,더불어민주당,없음,100120181
